YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,4,30,14,56,12,0,0,,147,,
2016,4,30,14,56,13,0,0,,147,,
2016,4,30,14,56,14,0,0,,147,,
2016,4,30,14,56,15,0,0,,148,,
2016,4,30,14,56,16,0,0,,148,,
2016,4,30,14,56,17,0,0,,148,,
2016,4,30,14,56,18,0,0,,148,,
2016,4,30,14,56,19,0,0,,148,,
2016,4,30,14,56,20,0,0,,147,,
2016,4,30,14,56,21,45,105,,146,,
2016,4,30,14,56,22,48,110,,145,,
2016,4,30,14,56,23,48,110,,145,,
2016,4,30,14,56,24,48,110,,146,,
2016,4,30,14,56,25,48,110,,146,,
2016,4,30,14,56,26,48,110,,147,,
2016,4,30,14,56,27,51,112,,148,,
2016,4,30,14,56,28,52,112,,148,,
2016,4,30,14,56,29,52,112,,148,,
2016,4,30,14,56,30,52,30,,148,,
2016,4,30,14,56,31,55,78,,148,,
2016,4,30,14,56,32,55,78,,148,,
2016,4,30,14,56,33,55,78,,148,,
2016,4,30,14,56,34,55,78,,148,,
2016,4,30,14,56,35,55,78,,147,,
2016,4,30,14,56,36,0,0,,145,,
2016,4,30,14,56,37,0,0,,139,,
2016,4,30,14,56,38,0,0,,137,,
2016,4,30,14,56,39,0,0,,138,,
2016,4,30,14,56,40,0,0,,139,,
2016,4,30,14,56,41,0,0,,138,,
2016,4,30,14,56,42,0,0,,138,,
2016,4,30,14,56,43,0,0,,138,,
2016,4,30,14,56,44,0,0,,138,,
2016,4,30,14,56,45,0,0,,138,,
2016,4,30,14,56,46,0,0,,0,,
2016,4,30,14,56,47,0,0,,0,,
2016,4,30,14,56,48,0,0,,0,,
2016,4,30,14,56,49,0,0,,0,,
2016,4,30,14,56,50,0,0,,0,,
2016,4,30,14,56,51,0,0,,0,,
2016,4,30,14,56,52,0,0,,0,,
2016,4,30,14,56,53,0,0,,121,,
2016,4,30,14,56,54,0,0,,120,,
2016,4,30,14,56,55,0,0,,121,,
2016,4,30,14,56,56,0,0,,125,,
2016,4,30,14,56,57,0,0,,128,,
2016,4,30,14,56,58,0,0,,132,,
2016,4,30,14,56,59,0,0,,134,,
2016,4,30,14,57,0,0,0,,134,,
2016,4,30,14,57,1,0,0,,134,,
2016,4,30,14,57,2,0,0,,136,,
2016,4,30,14,57,3,0,0,,139,,
2016,4,30,14,57,4,0,0,,140,,
2016,4,30,14,57,5,0,0,,141,,
2016,4,30,14,57,6,0,0,,143,,
2016,4,30,14,57,7,0,0,,143,,
2016,4,30,14,57,8,0,0,,144,,
2016,4,30,14,57,9,0,0,,144,,
2016,4,30,14,57,10,0,0,,145,,
2016,4,30,14,57,11,0,0,,146,,
2016,4,30,14,57,12,0,0,,147,,
2016,4,30,14,57,13,0,0,,147,,
2016,4,30,14,57,14,0,0,,148,,
2016,4,30,14,57,15,0,0,,149,,
2016,4,30,14,57,16,0,0,,149,,
2016,4,30,14,57,17,0,0,,149,,
2016,4,30,14,57,18,23,62,,149,,
2016,4,30,14,57,19,23,62,,149,,
2016,4,30,14,57,20,28,95,,149,,
2016,4,30,14,57,21,29,96,,149,,
2016,4,30,14,57,22,30,94,,149,,
2016,4,30,14,57,23,32,96,,148,,
2016,4,30,14,57,24,32,96,,148,,
2016,4,30,14,57,25,34,83,,147,,
2016,4,30,14,57,26,38,84,,147,,
2016,4,30,14,57,27,39,89,,147,,
2016,4,30,14,57,28,40,92,,147,,
2016,4,30,14,57,29,41,94,,146,,
2016,4,30,14,57,30,42,95,,147,,
2016,4,30,14,57,31,42,95,,147,,
2016,4,30,14,57,32,42,95,,147,,
2016,4,30,14,57,33,42,95,,147,,
2016,4,30,14,57,34,42,95,,147,,
2016,4,30,14,57,35,0,0,,147,,
2016,4,30,14,57,36,0,0,,148,,
2016,4,30,14,57,37,0,0,,148,,
2016,4,30,14,57,38,0,0,,148,,
2016,4,30,14,57,39,0,0,,148,,
2016,4,30,14,57,40,60,116,,149,,
2016,4,30,14,57,41,61,34,,149,,
2016,4,30,14,57,42,61,254,,150,,
2016,4,30,14,57,43,61,254,,150,,
2016,4,30,14,57,44,61,74,,150,,
2016,4,30,14,57,45,61,43,,150,,
2016,4,30,14,57,46,60,43,,150,,
2016,4,30,14,57,47,60,43,,0,,
2016,4,30,14,57,48,58,48,,0,,
2016,4,30,14,57,49,58,46,,0,,
2016,4,30,14,57,50,56,46,,0,,
2016,4,30,14,57,51,56,46,,0,,
2016,4,30,14,57,52,56,46,,0,,
2016,4,30,14,57,53,55,16,,0,,
2016,4,30,14,57,54,53,115,,0,,
2016,4,30,14,57,55,53,115,,0,,
2016,4,30,14,57,56,52,115,,134,,
2016,4,30,14,57,57,51,15,,133,,
2016,4,30,14,57,58,51,15,,128,,
2016,4,30,14,57,59,51,118,,125,,
2016,4,30,14,58,0,52,119,,126,,
2016,4,30,14,58,1,52,120,,128,,
2016,4,30,14,58,2,52,120,,131,,
2016,4,30,14,58,3,52,120,,134,,
2016,4,30,14,58,4,52,120,,138,,
2016,4,30,14,58,5,52,120,,138,,
2016,4,30,14,58,6,52,120,,140,,
2016,4,30,14,58,7,52,120,,141,,
2016,4,30,14,58,8,53,123,,142,,
2016,4,30,14,58,9,53,123,,143,,
2016,4,30,14,58,10,53,123,,144,,
2016,4,30,14,58,11,53,123,,145,,
2016,4,30,14,58,12,53,122,,145,,
2016,4,30,14,58,13,52,121,,146,,
2016,4,30,14,58,14,52,121,,146,,
2016,4,30,14,58,15,52,120,,147,,
2016,4,30,14,58,16,52,119,,148,,
2016,4,30,14,58,17,51,119,,148,,
2016,4,30,14,58,18,51,119,,148,,
2016,4,30,14,58,19,51,119,,148,,
2016,4,30,14,58,20,53,121,,148,,
2016,4,30,14,58,21,53,122,,151,,
2016,4,30,14,58,22,53,122,,151,,
2016,4,30,14,58,23,52,117,,152,,
2016,4,30,14,58,24,50,72,,153,,
2016,4,30,14,58,25,48,72,,153,,
2016,4,30,14,58,26,48,72,,153,,
2016,4,30,14,58,27,48,72,,153,,
2016,4,30,14,58,28,48,72,,150,,
2016,4,30,14,58,29,48,72,,150,,
2016,4,30,14,58,30,48,72,,150,,
2016,4,30,14,58,31,0,0,,150,,
2016,4,30,14,58,32,0,0,,151,,
2016,4,30,14,58,33,0,0,,151,,
2016,4,30,14,58,34,0,0,,151,,
2016,4,30,14,58,35,0,0,,150,,
2016,4,30,14,58,36,40,71,,151,,
2016,4,30,14,58,37,42,71,,149,,
2016,4,30,14,58,38,43,71,,148,,
2016,4,30,14,58,39,45,71,,147,,
2016,4,30,14,58,40,45,7,,145,,
2016,4,30,14,58,41,46,7,,145,,
2016,4,30,14,58,42,49,7,,144,,
2016,4,30,14,58,43,49,7,,144,,
2016,4,30,14,58,44,48,7,,143,,
2016,4,30,14,58,45,45,0,,143,,
2016,4,30,14,58,46,44,10,,140,,
2016,4,30,14,58,47,43,119,,140,,
2016,4,30,14,58,48,42,116,,138,,
2016,4,30,14,58,49,42,115,,140,,
2016,4,30,14,58,50,40,112,,142,,
