YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,6,18,13,5,14,24,19,,134,,
2016,6,18,13,5,15,29,95,,132,,
2016,6,18,13,5,16,27,96,,132,,
2016,6,18,13,5,17,27,92,,133,,
2016,6,18,13,5,18,27,89,,134,,
2016,6,18,13,5,19,27,90,,134,,
2016,6,18,13,5,20,28,91,,134,,
2016,6,18,13,5,21,28,91,,133,,
2016,6,18,13,5,22,30,74,,133,,
2016,6,18,13,5,23,31,66,,132,,
2016,6,18,13,5,24,32,68,,132,,
2016,6,18,13,5,25,33,78,,132,,
2016,6,18,13,5,26,34,80,,132,,
2016,6,18,13,5,27,34,81,,132,,
2016,6,18,13,5,28,35,84,,131,,
2016,6,18,13,5,29,35,84,,131,,
2016,6,18,13,5,30,36,86,,131,,
2016,6,18,13,5,31,36,87,,130,,
2016,6,18,13,5,32,37,88,,129,,
2016,6,18,13,5,33,37,89,,129,,
2016,6,18,13,5,34,38,91,,128,,
2016,6,18,13,5,35,38,92,,128,,
2016,6,18,13,5,36,39,92,,128,,
2016,6,18,13,5,37,40,96,,128,,
2016,6,18,13,5,38,40,96,,127,,
2016,6,18,13,5,39,41,97,,127,,
2016,6,18,13,5,40,41,98,,127,,
2016,6,18,13,5,41,41,98,,128,,
2016,6,18,13,5,42,41,99,,127,,
2016,6,18,13,5,43,42,99,,126,,
2016,6,18,13,5,44,42,95,,125,,
2016,6,18,13,5,45,42,95,,125,,
2016,6,18,13,5,46,43,95,,125,,
2016,6,18,13,5,47,43,95,,124,,
2016,6,18,13,5,48,43,96,,124,,
2016,6,18,13,5,49,44,98,,124,,
2016,6,18,13,5,50,44,98,,124,,
2016,6,18,13,5,51,45,99,,124,,
2016,6,18,13,5,52,45,99,,124,,
2016,6,18,13,5,53,45,101,,123,,
2016,6,18,13,5,54,46,102,,123,,
2016,6,18,13,5,55,46,101,,123,,
2016,6,18,13,5,56,46,104,,121,,
2016,6,18,13,5,57,46,98,,121,,
2016,6,18,13,5,58,47,97,,121,,
2016,6,18,13,5,59,47,95,,122,,
2016,6,18,13,6,0,47,90,,122,,
2016,6,18,13,6,1,49,93,,122,,
2016,6,18,13,6,2,49,93,,123,,
2016,6,18,13,6,3,49,94,,123,,
2016,6,18,13,6,4,50,95,,122,,
2016,6,18,13,6,5,50,96,,122,,
2016,6,18,13,6,6,51,97,,122,,
2016,6,18,13,6,7,51,98,,122,,
2016,6,18,13,6,8,52,99,,122,,
2016,6,18,13,6,9,52,100,,123,,
2016,6,18,13,6,10,53,101,,123,,
2016,6,18,13,6,11,53,101,,123,,
2016,6,18,13,6,12,53,101,,122,,
2016,6,18,13,6,13,53,101,,122,,
2016,6,18,13,6,14,53,102,,121,,
2016,6,18,13,6,15,53,102,,121,,
2016,6,18,13,6,16,54,104,,121,,
2016,6,18,13,6,17,54,103,,121,,
2016,6,18,13,6,18,54,103,,120,,
2016,6,18,13,6,19,54,103,,120,,
2016,6,18,13,6,20,54,103,,119,,
2016,6,18,13,6,21,54,103,,119,,
2016,6,18,13,6,22,54,103,,120,,
2016,6,18,13,6,23,54,103,,121,,
2016,6,18,13,6,24,54,103,,121,,
2016,6,18,13,6,25,54,103,,121,,
2016,6,18,13,6,26,55,105,,121,,
2016,6,18,13,6,27,55,100,,121,,
2016,6,18,13,6,28,55,100,,122,,
2016,6,18,13,6,29,55,100,,121,,
2016,6,18,13,6,30,56,0,,118,,
2016,6,18,13,6,31,56,15,,115,,
2016,6,18,13,6,32,57,109,,115,,
2016,6,18,13,6,33,57,109,,116,,
2016,6,18,13,6,34,57,110,,119,,
2016,6,18,13,6,35,57,110,,121,,
2016,6,18,13,6,36,58,110,,123,,
2016,6,18,13,6,37,57,110,,122,,
2016,6,18,13,6,38,57,109,,122,,
2016,6,18,13,6,39,57,108,,122,,
2016,6,18,13,6,40,57,108,,121,,
2016,6,18,13,6,41,57,108,,121,,
2016,6,18,13,6,42,56,108,,119,,
2016,6,18,13,6,43,56,108,,119,,
2016,6,18,13,6,44,56,107,,119,,
2016,6,18,13,6,45,56,107,,119,,
2016,6,18,13,6,46,55,106,,119,,
2016,6,18,13,6,47,55,106,,120,,
2016,6,18,13,6,48,55,105,,121,,
2016,6,18,13,6,49,54,104,,122,,
2016,6,18,13,6,50,53,103,,123,,
2016,6,18,13,6,51,53,101,,124,,
2016,6,18,13,6,52,53,101,,124,,
2016,6,18,13,6,53,51,99,,125,,
2016,6,18,13,6,54,49,94,,126,,
2016,6,18,13,6,55,47,92,,125,,
2016,6,18,13,6,56,45,90,,125,,
2016,6,18,13,6,57,44,93,,124,,
2016,6,18,13,6,58,43,89,,124,,
2016,6,18,13,6,59,42,88,,124,,
2016,6,18,13,7,0,41,92,,123,,
2016,6,18,13,7,1,40,90,,123,,
2016,6,18,13,7,2,39,89,,122,,
2016,6,18,13,7,3,39,87,,123,,
2016,6,18,13,7,4,38,86,,123,,
2016,6,18,13,7,5,38,86,,122,,
2016,6,18,13,7,6,37,89,,122,,
2016,6,18,13,7,7,36,86,,122,,
2016,6,18,13,7,8,34,85,,122,,
2016,6,18,13,7,9,33,82,,122,,
