YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,6,18,12,27,18,,,,122,,
2016,6,18,12,27,20,0,0,,123,,
2016,6,18,12,27,21,33,108,,123,,
2016,6,18,12,27,22,33,109,,122,,
2016,6,18,12,27,23,33,110,,123,,
2016,6,18,12,27,24,34,111,,122,,
2016,6,18,12,27,25,34,112,,122,,
2016,6,18,12,27,26,33,110,,122,,
2016,6,18,12,27,27,32,108,,123,,
2016,6,18,12,27,28,32,106,,126,,
2016,6,18,12,27,29,31,104,,128,,
2016,6,18,12,27,30,31,103,,129,,
2016,6,18,12,27,31,31,102,,129,,
2016,6,18,12,27,32,30,101,,130,,
2016,6,18,12,27,33,31,101,,130,,
2016,6,18,12,27,34,31,102,,131,,
2016,6,18,12,27,35,31,103,,132,,
2016,6,18,12,27,36,31,103,,133,,
2016,6,18,12,27,37,32,104,,134,,
2016,6,18,12,27,38,32,105,,135,,
2016,6,18,12,27,39,32,105,,136,,
2016,6,18,12,27,40,32,107,,137,,
2016,6,18,12,27,41,32,106,,138,,
2016,6,18,12,27,42,32,105,,138,,
2016,6,18,12,27,43,32,105,,139,,
2016,6,18,12,27,44,31,104,,139,,
2016,6,18,12,27,45,31,103,,139,,
2016,6,18,12,27,46,31,103,,139,,
2016,6,18,12,27,47,31,102,,139,,
2016,6,18,12,27,48,31,102,,138,,
2016,6,18,12,27,49,31,102,,137,,
2016,6,18,12,27,50,31,101,,136,,
2016,6,18,12,27,51,31,101,,136,,
2016,6,18,12,27,52,31,102,,135,,
2016,6,18,12,27,53,31,102,,135,,
2016,6,18,12,27,54,31,102,,136,,
2016,6,18,12,27,55,31,100,,136,,
2016,6,18,12,27,56,31,96,,135,,
2016,6,18,12,27,57,31,96,,135,,
2016,6,18,12,27,58,31,96,,135,,
2016,6,18,12,27,59,31,96,,135,,
2016,6,18,12,28,0,31,96,,135,,
2016,6,18,12,28,1,31,95,,134,,
2016,6,18,12,28,2,31,94,,134,,
2016,6,18,12,28,3,31,95,,134,,
2016,6,18,12,28,4,31,95,,134,,
2016,6,18,12,28,5,31,95,,133,,
2016,6,18,12,28,6,31,96,,132,,
2016,6,18,12,28,7,32,97,,131,,
2016,6,18,12,28,8,32,97,,131,,
2016,6,18,12,28,9,32,97,,131,,
2016,6,18,12,28,10,32,98,,131,,
2016,6,18,12,28,11,33,99,,130,,
2016,6,18,12,28,12,33,101,,130,,
2016,6,18,12,28,13,34,104,,130,,
2016,6,18,12,28,14,35,105,,130,,
2016,6,18,12,28,15,36,108,,129,,
2016,6,18,12,28,16,36,97,,128,,
2016,6,18,12,28,17,37,76,,128,,
2016,6,18,12,28,18,38,76,,127,,
2016,6,18,12,28,19,39,78,,128,,
2016,6,18,12,28,20,45,91,,128,,
2016,6,18,12,28,21,48,99,,128,,
2016,6,18,12,28,22,50,103,,128,,
2016,6,18,12,28,23,52,107,,129,,
2016,6,18,12,28,24,53,101,,129,,
2016,6,18,12,28,25,53,101,,128,,
2016,6,18,12,28,26,55,105,,129,,
2016,6,18,12,28,27,57,107,,129,,
2016,6,18,12,28,28,57,108,,130,,
2016,6,18,12,28,29,59,112,,130,,
2016,6,18,12,28,30,60,115,,131,,
2016,6,18,12,28,31,61,115,,132,,
2016,6,18,12,28,32,64,117,,132,,
2016,6,18,12,28,33,67,117,,133,,
2016,6,18,12,28,34,68,117,,134,,
2016,6,18,12,28,35,70,113,,133,,
2016,6,18,12,28,36,69,133,,128,,
2016,6,18,12,28,37,70,132,,126,,
2016,6,18,12,28,38,69,132,,126,,
2016,6,18,12,28,39,67,132,,128,,
2016,6,18,12,28,40,64,132,,131,,
2016,6,18,12,28,41,62,0,,132,,
2016,6,18,12,28,42,60,116,,134,,
2016,6,18,12,28,43,59,115,,136,,
2016,6,18,12,28,44,56,117,,137,,
2016,6,18,12,28,45,55,115,,138,,
2016,6,18,12,28,46,52,118,,140,,
2016,6,18,12,28,47,50,56,,141,,
2016,6,18,12,28,48,48,108,,142,,
2016,6,18,12,28,49,46,103,,143,,
2016,6,18,12,28,50,47,105,,145,,
2016,6,18,12,28,51,49,109,,145,,
2016,6,18,12,28,52,50,111,,146,,
2016,6,18,12,28,53,53,108,,147,,
2016,6,18,12,28,54,55,104,,147,,
2016,6,18,12,28,55,57,108,,147,,
2016,6,18,12,28,56,58,110,,147,,
2016,6,18,12,28,57,59,112,,147,,
2016,6,18,12,28,58,60,112,,148,,
2016,6,18,12,28,59,60,114,,148,,
2016,6,18,12,29,0,60,114,,148,,
2016,6,18,12,29,1,60,114,,147,,
2016,6,18,12,29,2,60,114,,148,,
2016,6,18,12,29,3,60,114,,148,,
2016,6,18,12,29,4,59,113,,148,,
2016,6,18,12,29,5,59,113,,148,,
2016,6,18,12,29,6,59,112,,148,,
2016,6,18,12,29,7,58,111,,148,,
2016,6,18,12,29,8,58,111,,148,,
2016,6,18,12,29,9,57,111,,148,,
2016,6,18,12,29,10,57,110,,148,,
2016,6,18,12,29,11,57,108,,149,,
2016,6,18,12,29,12,56,108,,148,,
2016,6,18,12,29,13,56,108,,149,,
2016,6,18,12,29,14,56,108,,149,,
2016,6,18,12,29,15,56,107,,149,,
2016,6,18,12,29,16,55,106,,149,,
2016,6,18,12,29,17,55,106,,149,,
2016,6,18,12,29,18,55,113,,150,,
2016,6,18,12,29,19,54,112,,150,,
2016,6,18,12,29,20,54,112,,150,,
2016,6,18,12,29,21,54,111,,150,,
2016,6,18,12,29,22,53,110,,150,,
2016,6,18,12,29,23,53,110,,150,,
2016,6,18,12,29,24,52,109,,150,,
2016,6,18,12,29,25,52,107,,150,,
2016,6,18,12,29,26,52,107,,150,,
2016,6,18,12,29,27,51,105,,150,,
2016,6,18,12,29,28,49,103,,149,,
2016,6,18,12,29,29,48,102,,150,,
2016,6,18,12,29,30,48,99,,150,,
2016,6,18,12,29,31,47,98,,149,,
2016,6,18,12,29,32,45,94,,149,,
2016,6,18,12,29,33,44,73,,149,,
2016,6,18,12,29,34,43,69,,148,,
2016,6,18,12,29,35,42,63,,147,,
2016,6,18,12,29,36,41,63,,145,,
2016,6,18,12,29,37,40,63,,144,,
2016,6,18,12,29,38,39,63,,143,,
2016,6,18,12,29,39,32,0,,143,,
2016,6,18,12,29,40,30,12,,142,,
2016,6,18,12,29,41,30,12,,141,,
2016,6,18,12,29,42,30,90,,140,,
2016,6,18,12,29,43,28,93,,139,,
2016,6,18,12,29,44,28,94,,139,,
2016,6,18,12,29,45,27,95,,140,,
2016,6,18,12,29,46,26,95,,140,,
2016,6,18,12,29,47,25,91,,141,,
2016,6,18,12,29,48,24,94,,142,,
2016,6,18,12,29,49,23,92,,142,,
2016,6,18,12,29,50,22,91,,141,,
2016,6,18,12,29,51,19,85,,141,,
2016,6,18,12,29,52,20,79,,142,,
2016,6,18,12,29,53,19,78,,142,,
2016,6,18,12,29,54,19,77,,142,,
2016,6,18,12,29,55,19,74,,141,,
2016,6,18,12,29,56,18,74,,142,,
2016,6,18,12,29,57,19,73,,143,,
2016,6,18,12,29,58,19,73,,144,,
2016,6,18,12,29,59,19,76,,145,,
2016,6,18,12,29,0,19,75,,146,,
2016,6,18,12,30,1,19,76,,147,,
2016,6,18,12,30,2,19,76,,148,,
2016,6,18,12,30,3,20,81,,148,,
2016,6,18,12,30,4,21,82,,148,,
2016,6,18,12,30,5,21,84,,148,,
2016,6,18,12,30,6,21,41,,151,,
2016,6,18,12,30,7,22,86,,150,,
2016,6,18,12,30,8,22,88,,151,,
2016,6,18,12,30,9,22,89,,151,,
2016,6,18,12,30,10,23,89,,151,,
2016,6,18,12,30,11,23,83,,151,,
2016,6,18,12,30,12,24,83,,150,,
2016,6,18,12,30,13,25,89,,150,,
