YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,4,30,14,35,54,,,,154,,
2016,4,30,14,35,55,,,,152,,
2016,4,30,14,35,56,,,,150,,
2016,4,30,14,35,57,,,,150,,
2016,4,30,14,35,58,,,,150,,
2016,4,30,14,35,59,17,63,,149,,
2016,4,30,14,36,0,16,63,,148,,
2016,4,30,14,36,1,12,63,,147,,
2016,4,30,14,36,2,16,63,,147,,
2016,4,30,14,36,3,16,63,,145,,
2016,4,30,14,36,4,16,63,,145,,
2016,4,30,14,36,5,16,63,,145,,
2016,4,30,14,36,6,16,63,,145,,
2016,4,30,14,36,7,16,63,,136,,
2016,4,30,14,36,8,0,0,,134,,
2016,4,30,14,36,9,19,0,,134,,
2016,4,30,14,36,10,15,0,,134,,
2016,4,30,14,36,11,17,0,,134,,
2016,4,30,14,36,12,17,0,,134,,
2016,4,30,14,36,13,19,0,,0,,
2016,4,30,14,36,14,20,0,,0,,
2016,4,30,14,36,15,18,0,,0,,
2016,4,30,14,36,16,18,0,,0,,
2016,4,30,14,36,17,17,0,,0,,
2016,4,30,14,36,18,17,0,,0,,
2016,4,30,14,36,19,17,0,,135,,
2016,4,30,14,36,20,15,0,,134,,
2016,4,30,14,36,21,16,0,,131,,
2016,4,30,14,36,22,16,0,,131,,
2016,4,30,14,36,23,16,0,,129,,
2016,4,30,14,36,24,15,0,,130,,
2016,4,30,14,36,25,13,0,,131,,
2016,4,30,14,36,26,11,0,,131,,
2016,4,30,14,36,27,11,0,,133,,
2016,4,30,14,36,28,17,0,,132,,
2016,4,30,14,36,29,18,0,,131,,
2016,4,30,14,36,30,18,0,,130,,
2016,4,30,14,36,31,13,0,,130,,
2016,4,30,14,36,32,11,0,,127,,
2016,4,30,14,36,33,11,0,,127,,
2016,4,30,14,36,34,11,0,,127,,
2016,4,30,14,36,35,11,0,,128,,
2016,4,30,14,36,36,9,0,,128,,
2016,4,30,14,36,37,10,0,,128,,
2016,4,30,14,36,38,10,0,,126,,
2016,4,30,14,36,39,16,0,,125,,
2016,4,30,14,36,40,16,0,,122,,
2016,4,30,14,36,41,12,0,,122,,
2016,4,30,14,36,42,13,0,,122,,
2016,4,30,14,36,43,13,0,,123,,
2016,4,30,14,36,44,13,0,,124,,
2016,4,30,14,36,45,15,0,,125,,
2016,4,30,14,36,46,10,0,,128,,
2016,4,30,14,36,47,8,0,,126,,
2016,4,30,14,36,48,7,0,,126,,
2016,4,30,14,36,49,7,0,,125,,
2016,4,30,14,36,50,7,0,,126,,
2016,4,30,14,36,51,3,1,,126,,
2016,4,30,14,36,52,3,1,,131,,
2016,4,30,14,36,53,3,1,,133,,
2016,4,30,14,36,54,3,1,,135,,
2016,4,30,14,36,55,3,1,,134,,
2016,4,30,14,36,56,0,0,,134,,
2016,4,30,14,36,57,0,0,,134,,
2016,4,30,14,36,58,0,0,,134,,
2016,4,30,14,36,59,0,0,,133,,
2016,4,30,14,37,0,0,0,,131,,
2016,4,30,14,37,1,9,1,,131,,
2016,4,30,14,37,2,10,4,,132,,
2016,4,30,14,37,3,11,4,,134,,
2016,4,30,14,37,4,10,4,,136,,
2016,4,30,14,37,5,11,4,,136,,
2016,4,30,14,37,6,11,4,,136,,
2016,4,30,14,37,7,12,4,,135,,
2016,4,30,14,37,8,14,4,,132,,
2016,4,30,14,37,9,16,0,,130,,
2016,4,30,14,37,10,17,0,,129,,
2016,4,30,14,37,11,17,0,,129,,
2016,4,30,14,37,12,14,0,,129,,
2016,4,30,14,37,13,11,0,,131,,
2016,4,30,14,37,14,10,0,,131,,
2016,4,30,14,37,15,14,0,,131,,
2016,4,30,14,37,16,17,0,,131,,
2016,4,30,14,37,17,17,0,,129,,
2016,4,30,14,37,18,21,0,,127,,
2016,4,30,14,37,19,20,0,,125,,
2016,4,30,14,37,20,18,0,,126,,
2016,4,30,14,37,21,18,0,,126,,
2016,4,30,14,37,22,16,0,,127,,
2016,4,30,14,37,23,14,0,,127,,
2016,4,30,14,37,24,13,0,,128,,
2016,4,30,14,37,25,10,0,,128,,
2016,4,30,14,37,26,15,0,,127,,
2016,4,30,14,37,27,20,0,,126,,
2016,4,30,14,37,28,23,0,,125,,
2016,4,30,14,37,29,23,0,,120,,
2016,4,30,14,37,30,24,0,,119,,
2016,4,30,14,37,31,24,0,,117,,
2016,4,30,14,37,32,24,0,,117,,
2016,4,30,14,37,33,23,0,,120,,
2016,4,30,14,37,34,8,0,,122,,
2016,4,30,14,37,35,12,0,,122,,
2016,4,30,14,37,36,10,0,,125,,
2016,4,30,14,37,37,17,0,,125,,
2016,4,30,14,37,38,18,0,,125,,
2016,4,30,14,37,39,20,0,,125,,
2016,4,30,14,37,40,16,0,,125,,
2016,4,30,14,37,41,17,0,,126,,
2016,4,30,14,37,42,18,0,,126,,
2016,4,30,14,37,43,19,0,,127,,
2016,4,30,14,37,44,14,0,,128,,
2016,4,30,14,37,45,17,0,,128,,
2016,4,30,14,37,46,18,0,,126,,
2016,4,30,14,37,47,18,0,,123,,
2016,4,30,14,37,48,18,0,,122,,
2016,4,30,14,37,49,18,0,,122,,
2016,4,30,14,37,50,18,0,,124,,
2016,4,30,14,37,51,0,0,,126,,
2016,4,30,14,37,52,0,0,,127,,
2016,4,30,14,37,53,0,0,,127,,
2016,4,30,14,37,54,0,0,,128,,
2016,4,30,14,37,55,0,0,,128,,
2016,4,30,14,37,56,0,0,,127,,
2016,4,30,14,37,57,0,0,,125,,
2016,4,30,14,37,58,0,0,,124,,
2016,4,30,14,37,59,0,0,,121,,
2016,4,30,14,38,0,0,0,,121,,
2016,4,30,14,38,1,0,0,,122,,
2016,4,30,14,38,2,0,0,,122,,
2016,4,30,14,38,3,0,0,,123,,
2016,4,30,14,38,4,0,0,,123,,
2016,4,30,14,38,5,0,0,,124,,
2016,4,30,14,38,6,0,0,,125,,
2016,4,30,14,38,7,0,0,,125,,
2016,4,30,14,38,8,16,0,,128,,
2016,4,30,14,38,9,20,0,,129,,
2016,4,30,14,38,10,20,0,,127,,
2016,4,30,14,38,11,16,0,,126,,
2016,4,30,14,38,12,14,0,,121,,
2016,4,30,14,38,13,13,0,,121,,
2016,4,30,14,38,14,10,0,,121,,
2016,4,30,14,38,15,12,0,,124,,
2016,4,30,14,38,16,12,0,,126,,
2016,4,30,14,38,17,11,0,,127,,
2016,4,30,14,38,18,11,0,,127,,
2016,4,30,14,38,19,11,0,,126,,
2016,4,30,14,38,20,11,0,,125,,
2016,4,30,14,38,21,19,0,,125,,
2016,4,30,14,38,22,17,0,,125,,
2016,4,30,14,38,23,17,0,,125,,
2016,4,30,14,38,24,17,0,,125,,
2016,4,30,14,38,25,17,0,,126,,
2016,4,30,14,38,26,17,0,,126,,
2016,4,30,14,38,27,17,0,,125,,
2016,4,30,14,38,28,0,0,,124,,
2016,4,30,14,38,29,0,0,,124,,
2016,4,30,14,38,30,0,0,,125,,
2016,4,30,14,38,31,0,0,,125,,
2016,4,30,14,38,32,0,0,,127,,
2016,4,30,14,38,33,0,0,,128,,
2016,4,30,14,38,34,0,0,,129,,
2016,4,30,14,38,35,0,0,,131,,
2016,4,30,14,38,36,0,0,,131,,
2016,4,30,14,38,37,7,0,,131,,
2016,4,30,14,38,38,7,1,,136,,
2016,4,30,14,38,39,9,1,,136,,
2016,4,30,14,38,40,12,1,,136,,
2016,4,30,14,38,41,16,1,,135,,
2016,4,30,14,38,42,11,1,,135,,
2016,4,30,14,38,43,14,1,,132,,
2016,4,30,14,38,44,12,0,,127,,
2016,4,30,14,38,45,10,0,,127,,
2016,4,30,14,38,46,10,0,,123,,
2016,4,30,14,38,47,10,0,,125,,
2016,4,30,14,38,48,10,0,,125,,
