YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,6,18,12,8,47,30,91,,124,,
2016,6,18,12,8,48,31,96,,125,,
2016,6,18,12,8,49,32,97,,125,,
2016,6,18,12,8,50,32,99,,126,,
2016,6,18,12,8,51,33,100,,126,,
2016,6,18,12,8,52,34,103,,126,,
2016,6,18,12,8,53,34,105,,127,,
2016,6,18,12,8,54,35,106,,128,,
2016,6,18,12,8,55,34,102,,128,,
2016,6,18,12,8,56,34,97,,128,,
2016,6,18,12,8,57,34,88,,128,,
2016,6,18,12,8,58,34,88,,128,,
2016,6,18,12,8,59,34,88,,128,,
2016,6,18,12,9,0,35,88,,128,,
2016,6,18,12,9,1,34,14,,127,,
2016,6,18,12,9,2,34,95,,127,,
2016,6,18,12,9,3,34,95,,126,,
2016,6,18,12,9,4,34,97,,126,,
2016,6,18,12,9,5,35,98,,126,,
2016,6,18,12,9,6,34,104,,127,,
2016,6,18,12,9,7,33,102,,127,,
2016,6,18,12,9,8,33,100,,128,,
2016,6,18,12,9,9,32,99,,128,,
2016,6,18,12,9,10,33,99,,129,,
2016,6,18,12,9,11,33,100,,129,,
2016,6,18,12,9,12,33,101,,130,,
2016,6,18,12,9,13,33,101,,130,,
2016,6,18,12,9,14,33,101,,131,,
2016,6,18,12,9,15,33,102,,132,,
2016,6,18,12,9,16,33,102,,132,,
2016,6,18,12,9,17,33,102,,133,,
2016,6,18,12,9,18,34,103,,133,,
2016,6,18,12,9,19,34,103,,134,,
2016,6,18,12,9,20,34,104,,134,,
2016,6,18,12,9,21,34,104,,135,,
2016,6,18,12,9,22,34,105,,135,,
2016,6,18,12,9,23,34,105,,135,,
2016,6,18,12,9,24,35,106,,136,,
2016,6,18,12,9,25,35,106,,136,,
2016,6,18,12,9,26,35,106,,136,,
2016,6,18,12,9,27,35,99,,137,,
2016,6,18,12,9,28,35,99,,137,,
