YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,5,1,12,49,19,,,,122,,
2016,5,1,12,49,20,,,,122,,
2016,5,1,12,49,21,,,,124,,
2016,5,1,12,49,22,,,,123,,
2016,5,1,12,49,23,,,,122,,
2016,5,1,12,49,24,,,,118,,
2016,5,1,12,49,25,,,,115,,
2016,5,1,12,49,26,,,,115,,
2016,5,1,12,49,27,,,,115,,
2016,5,1,12,49,28,,,,115,,
2016,5,1,12,49,29,,,,115,,
2016,5,1,12,49,30,,,,0,,
2016,5,1,12,49,31,,,,0,,
2016,5,1,12,49,32,,,,0,,
2016,5,1,12,49,33,,,,0,,
2016,5,1,12,49,34,,,,0,,
2016,5,1,12,49,35,,,,0,,
2016,5,1,12,49,36,,,,0,,
2016,5,1,12,49,37,,,,110,,
2016,5,1,12,49,38,,,,113,,
2016,5,1,12,49,39,0,0,,114,,
2016,5,1,12,49,40,16,80,,114,,
2016,5,1,12,49,41,16,80,,118,,
2016,5,1,12,49,42,17,98,,118,,
2016,5,1,12,49,43,17,98,,118,,
2016,5,1,12,49,44,17,98,,117,,
2016,5,1,12,49,45,17,98,,116,,
2016,5,1,12,49,46,17,98,,116,,
2016,5,1,12,49,47,17,58,,116,,
2016,5,1,12,49,48,17,58,,116,,
2016,5,1,12,49,49,16,95,,116,,
2016,5,1,12,49,50,20,100,,0,,
2016,5,1,12,49,51,24,126,,0,,
2016,5,1,12,49,52,24,126,,123,,
2016,5,1,12,49,53,24,126,,123,,
2016,5,1,12,49,54,24,126,,124,,
2016,5,1,12,49,55,24,126,,125,,
2016,5,1,12,49,56,0,0,,125,,
2016,5,1,12,49,57,0,0,,125,,
2016,5,1,12,49,58,0,0,,125,,
2016,5,1,12,49,59,0,0,,125,,
2016,5,1,12,50,0,0,0,,125,,
2016,5,1,12,50,1,0,0,,0,,
2016,5,1,12,50,2,0,0,,0,,
2016,5,1,12,50,3,0,0,,0,,
2016,5,1,12,50,4,0,0,,0,,
2016,5,1,12,50,5,0,0,,0,,
2016,5,1,12,50,6,0,0,,0,,
2016,5,1,12,50,7,0,0,,0,,
2016,5,1,12,50,8,0,0,,0,,
2016,5,1,12,50,9,0,0,,0,,
2016,5,1,12,50,10,0,0,,0,,
2016,5,1,12,50,11,0,0,,0,,
2016,5,1,12,50,12,0,0,,127,,
2016,5,1,12,50,13,0,0,,126,,
2016,5,1,12,50,14,0,0,,126,,
2016,5,1,12,50,15,0,0,,126,,
2016,5,1,12,50,16,0,0,,129,,
2016,5,1,12,50,17,0,0,,130,,
2016,5,1,12,50,18,0,0,,130,,
2016,5,1,12,50,19,0,0,,129,,
2016,5,1,12,50,20,0,0,,129,,
2016,5,1,12,50,21,0,0,,129,,
2016,5,1,12,50,22,0,0,,129,,
2016,5,1,12,50,23,0,0,,129,,
2016,5,1,12,50,24,0,0,,0,,
2016,5,1,12,50,25,0,0,,0,,
2016,5,1,12,50,26,0,0,,0,,
2016,5,1,12,50,27,0,0,,0,,
2016,5,1,12,50,28,0,0,,0,,
2016,5,1,12,50,29,0,0,,0,,
