YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,5,1,12,17,1,19,97,,161,,
2016,5,1,12,17,2,19,0,,161,,
2016,5,1,12,17,3,20,0,,161,,
2016,5,1,12,17,4,24,9,,160,,
2016,5,1,12,17,5,26,9,,160,,
2016,5,1,12,17,6,26,9,,160,,
2016,5,1,12,17,7,26,9,,161,,
2016,5,1,12,17,8,26,9,,161,,
2016,5,1,12,17,9,26,9,,159,,
2016,5,1,12,17,10,23,9,,159,,
2016,5,1,12,17,11,26,9,,158,,
2016,5,1,12,17,12,29,9,,158,,
2016,5,1,12,17,13,30,9,,158,,
2016,5,1,12,17,14,30,9,,158,,
2016,5,1,12,17,15,29,0,,153,,
2016,5,1,12,17,16,29,0,,150,,
2016,5,1,12,17,17,24,0,,150,,
2016,5,1,12,17,18,24,0,,148,,
2016,5,1,12,17,19,27,0,,147,,
2016,5,1,12,17,20,27,0,,146,,
2016,5,1,12,17,21,27,0,,144,,
2016,5,1,12,17,22,27,0,,141,,
2016,5,1,12,17,23,27,0,,140,,
2016,5,1,12,17,24,0,0,,138,,
2016,5,1,12,17,25,18,3,,138,,
2016,5,1,12,17,26,8,3,,132,,
2016,5,1,12,17,27,6,3,,131,,
2016,5,1,12,17,28,6,3,,130,,
2016,5,1,12,17,29,7,3,,130,,
2016,5,1,12,17,30,12,3,,131,,
2016,5,1,12,17,31,7,7,,131,,
2016,5,1,12,17,32,7,7,,131,,
2016,5,1,12,17,33,6,58,,134,,
2016,5,1,12,17,34,6,58,,134,,
2016,5,1,12,17,35,10,90,,135,,
2016,5,1,12,17,36,10,90,,134,,
2016,5,1,12,17,37,10,90,,134,,
2016,5,1,12,17,38,10,90,,135,,
2016,5,1,12,17,39,10,90,,135,,
2016,5,1,12,17,40,0,0,,134,,
2016,5,1,12,17,41,0,0,,130,,
2016,5,1,12,17,42,0,0,,125,,
2016,5,1,12,17,43,0,0,,124,,
2016,5,1,12,17,44,0,0,,125,,
2016,5,1,12,17,45,0,0,,126,,
2016,5,1,12,17,46,0,0,,125,,
2016,5,1,12,17,47,12,13,,124,,
2016,5,1,12,17,48,9,13,,123,,
2016,5,1,12,17,49,9,13,,124,,
2016,5,1,12,17,50,7,13,,123,,
2016,5,1,12,17,51,6,13,,122,,
2016,5,1,12,17,52,6,13,,120,,
2016,5,1,12,17,53,6,0,,119,,
2016,5,1,12,17,54,4,0,,116,,
2016,5,1,12,17,55,4,0,,116,,
2016,5,1,12,17,56,4,0,,116,,
2016,5,1,12,17,57,4,0,,119,,
2016,5,1,12,17,58,4,0,,122,,
2016,5,1,12,17,59,4,0,,123,,
2016,5,1,12,18,0,0,0,,124,,
2016,5,1,12,18,1,0,0,,123,,
2016,5,1,12,18,2,0,0,,123,,
2016,5,1,12,18,3,0,0,,123,,
2016,5,1,12,18,4,0,0,,123,,
2016,5,1,12,18,5,0,0,,123,,
2016,5,1,12,18,6,0,0,,0,,
2016,5,1,12,18,7,0,0,,0,,
2016,5,1,12,18,8,0,0,,0,,
2016,5,1,12,18,9,0,2,,0,,
2016,5,1,12,18,10,0,2,,0,,
2016,5,1,12,18,11,0,2,,0,,
2016,5,1,12,18,12,0,2,,126,,
2016,5,1,12,18,13,0,2,,120,,
2016,5,1,12,18,14,0,2,,118,,
2016,5,1,12,18,15,0,2,,118,,
2016,5,1,12,18,16,0,2,,120,,
2016,5,1,12,18,17,0,2,,123,,
2016,5,1,12,18,18,0,0,,124,,
2016,5,1,12,18,19,0,0,,128,,
2016,5,1,12,18,20,0,0,,129,,
2016,5,1,12,18,21,0,0,,128,,
2016,5,1,12,18,22,0,0,,127,,
2016,5,1,12,18,23,0,4,,127,,
2016,5,1,12,18,24,0,4,,126,,
2016,5,1,12,18,25,0,4,,127,,
2016,5,1,12,18,26,0,4,,126,,
2016,5,1,12,18,27,0,4,,125,,
2016,5,1,12,18,28,0,7,,123,,
2016,5,1,12,18,29,0,7,,124,,
2016,5,1,12,18,30,5,7,,125,,
2016,5,1,12,18,31,6,43,,129,,
2016,5,1,12,18,32,5,55,,132,,
2016,5,1,12,18,33,5,55,,133,,
2016,5,1,12,18,34,4,41,,134,,
2016,5,1,12,18,35,4,41,,134,,
2016,5,1,12,18,36,3,41,,134,,
2016,5,1,12,18,37,3,39,,133,,
2016,5,1,12,18,38,5,57,,133,,
2016,5,1,12,18,39,6,68,,131,,
2016,5,1,12,18,40,9,92,,131,,
2016,5,1,12,18,41,9,92,,132,,
2016,5,1,12,18,42,10,86,,132,,
2016,5,1,12,18,43,9,62,,132,,
2016,5,1,12,18,44,9,69,,132,,
2016,5,1,12,18,45,9,72,,130,,
2016,5,1,12,18,46,10,80,,129,,
2016,5,1,12,18,47,9,74,,131,,
2016,5,1,12,18,48,9,74,,131,,
2016,5,1,12,18,49,9,74,,131,,
2016,5,1,12,18,50,9,74,,131,,
2016,5,1,12,18,51,9,74,,131,,
2016,5,1,12,18,52,0,0,,130,,
2016,5,1,12,18,53,0,0,,129,,
2016,5,1,12,18,54,10,83,,129,,
2016,5,1,12,18,55,11,88,,129,,
2016,5,1,12,18,56,11,89,,132,,
2016,5,1,12,18,57,11,94,,133,,
2016,5,1,12,18,58,11,94,,133,,
2016,5,1,12,18,59,11,94,,133,,
2016,5,1,12,19,0,11,94,,133,,
2016,5,1,12,19,1,11,94,,133,,
2016,5,1,12,19,2,0,0,,133,,
2016,5,1,12,19,3,0,0,,0,,
2016,5,1,12,19,4,0,0,,0,,
2016,5,1,12,19,5,0,0,,0,,
2016,5,1,12,19,6,0,0,,0,,
2016,5,1,12,19,7,0,0,,0,,
2016,5,1,12,19,8,0,0,,0,,
2016,5,1,12,19,9,0,0,,0,,
2016,5,1,12,19,10,0,0,,0,,
2016,5,1,12,19,11,0,0,,134,,
2016,5,1,12,19,12,0,0,,135,,
2016,5,1,12,19,13,0,0,,135,,
2016,5,1,12,19,14,0,0,,135,,
2016,5,1,12,19,15,0,0,,136,,
