YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SPEED,CADENCE,POWER,HEART_RATE,FRONT_GEAR_STAGES,REAR_GEAR_STAGES
2016,4,30,13,16,8,,,,122,,
2016,4,30,13,16,9,,,,120,,
2016,4,30,13,16,10,,,,118,,
2016,4,30,13,16,11,,,,118,,
2016,4,30,13,16,12,,,,118,,
2016,4,30,13,16,13,,,,118,,
2016,4,30,13,16,14,,,,118,,
2016,4,30,13,16,15,,,,126,,
2016,4,30,13,16,16,,,,126,,
2016,4,30,13,16,17,,,,129,,
2016,4,30,13,16,18,18,95,,130,,
2016,4,30,13,16,19,20,99,,131,,
2016,4,30,13,16,20,19,96,,132,,
2016,4,30,13,16,21,19,96,,133,,
2016,4,30,13,16,22,22,110,,134,,
2016,4,30,13,16,23,22,100,,133,,
2016,4,30,13,16,24,19,96,,133,,
2016,4,30,13,16,25,19,96,,134,,
2016,4,30,13,16,26,19,96,,136,,
2016,4,30,13,16,27,20,83,,136,,
2016,4,30,13,16,28,23,101,,138,,
2016,4,30,13,16,29,22,101,,138,,
2016,4,30,13,16,30,23,101,,138,,
2016,4,30,13,16,31,23,101,,136,,
2016,4,30,13,16,32,27,0,,133,,
2016,4,30,13,16,33,27,0,,130,,
2016,4,30,13,16,34,29,0,,129,,
2016,4,30,13,16,35,29,0,,129,,
2016,4,30,13,16,36,27,0,,129,,
2016,4,30,13,16,37,27,0,,128,,
2016,4,30,13,16,38,26,0,,128,,
2016,4,30,13,16,39,26,0,,127,,
2016,4,30,13,16,40,23,0,,127,,
2016,4,30,13,16,41,23,0,,127,,
2016,4,30,13,16,42,23,0,,130,,
2016,4,30,13,16,43,18,11,,131,,
2016,4,30,13,16,44,13,85,,133,,
2016,4,30,13,16,45,13,85,,135,,
2016,4,30,13,16,46,13,85,,138,,
2016,4,30,13,16,47,13,85,,141,,
2016,4,30,13,16,48,13,85,,141,,
2016,4,30,13,16,49,0,0,,143,,
2016,4,30,13,16,50,0,0,,145,,
2016,4,30,13,16,51,0,0,,147,,
2016,4,30,13,16,52,0,0,,147,,
2016,4,30,13,16,53,14,78,,148,,
2016,4,30,13,16,54,16,94,,148,,
2016,4,30,13,16,55,16,93,,148,,
2016,4,30,13,16,56,15,91,,148,,
2016,4,30,13,16,57,15,91,,148,,
2016,4,30,13,16,58,13,91,,149,,
2016,4,30,13,16,59,13,88,,149,,
2016,4,30,13,17,0,12,86,,150,,
2016,4,30,13,17,1,12,81,,151,,
2016,4,30,13,17,2,11,78,,151,,
2016,4,30,13,17,3,11,78,,152,,
2016,4,30,13,17,4,11,78,,153,,
2016,4,30,13,17,5,11,76,,152,,
2016,4,30,13,17,6,11,76,,153,,
2016,4,30,13,17,7,10,71,,153,,
2016,4,30,13,17,8,10,71,,155,,
2016,4,30,13,17,9,10,71,,155,,
2016,4,30,13,17,10,10,71,,155,,
2016,4,30,13,17,11,10,71,,155,,
2016,4,30,13,17,12,0,0,,156,,
2016,4,30,13,17,13,0,0,,156,,
2016,4,30,13,17,14,0,0,,157,,
2016,4,30,13,17,15,0,0,,157,,
2016,4,30,13,17,16,13,79,,157,,
2016,4,30,13,17,17,14,85,,157,,
2016,4,30,13,17,18,14,85,,157,,
2016,4,30,13,17,19,13,77,,157,,
2016,4,30,13,17,20,12,75,,157,,
2016,4,30,13,17,21,13,75,,158,,
2016,4,30,13,17,22,13,75,,158,,
2016,4,30,13,17,23,13,75,,158,,
2016,4,30,13,17,24,13,75,,158,,
2016,4,30,13,17,25,13,75,,157,,
2016,4,30,13,17,26,0,0,,157,,
2016,4,30,13,17,27,0,0,,155,,
2016,4,30,13,17,28,0,0,,156,,
2016,4,30,13,17,29,14,45,,156,,
2016,4,30,13,17,30,11,89,,155,,
2016,4,30,13,17,31,12,92,,155,,
2016,4,30,13,17,32,12,92,,156,,
2016,4,30,13,17,33,12,92,,156,,
2016,4,30,13,17,34,12,92,,156,,
2016,4,30,13,17,35,10,79,,156,,
2016,4,30,13,17,36,10,79,,157,,
2016,4,30,13,17,37,9,69,,157,,
2016,4,30,13,17,38,10,77,,158,,
2016,4,30,13,17,39,10,80,,157,,
2016,4,30,13,17,40,11,83,,158,,
2016,4,30,13,17,41,10,82,,158,,
2016,4,30,13,17,42,10,82,,158,,
2016,4,30,13,17,43,10,82,,158,,
2016,4,30,13,17,44,10,82,,158,,
2016,4,30,13,17,45,10,82,,158,,
2016,4,30,13,17,46,10,82,,157,,
2016,4,30,13,17,47,10,82,,158,,
2016,4,30,13,17,48,0,0,,158,,
2016,4,30,13,17,49,0,0,,158,,
2016,4,30,13,17,50,0,0,,158,,
2016,4,30,13,17,51,0,0,,158,,
2016,4,30,13,17,52,0,0,,158,,
2016,4,30,13,17,53,24,116,,157,,
2016,4,30,13,17,54,26,124,,157,,
2016,4,30,13,17,55,26,99,,157,,
2016,4,30,13,17,56,26,92,,158,,
2016,4,30,13,17,57,26,92,,158,,
2016,4,30,13,17,58,26,92,,157,,
2016,4,30,13,17,59,26,92,,157,,
2016,4,30,13,18,0,26,92,,157,,
2016,4,30,13,18,1,0,0,,157,,
2016,4,30,13,18,2,0,0,,157,,
2016,4,30,13,18,3,0,0,,157,,
2016,4,30,13,18,4,0,0,,154,,
2016,4,30,13,18,5,26,90,,154,,
2016,4,30,13,18,6,28,90,,154,,
2016,4,30,13,18,7,27,109,,154,,
2016,4,30,13,18,8,27,109,,143,,
2016,4,30,13,18,9,27,109,,145,,
2016,4,30,13,18,10,27,109,,147,,
2016,4,30,13,18,11,27,109,,148,,
2016,4,30,13,18,12,23,104,,148,,
2016,4,30,13,18,13,23,104,,148,,
2016,4,30,13,18,14,23,104,,148,,
2016,4,30,13,18,15,23,104,,144,,
2016,4,30,13,18,16,23,104,,142,,
2016,4,30,13,18,17,0,0,,141,,
2016,4,30,13,18,18,0,0,,142,,
2016,4,30,13,18,19,0,0,,144,,
2016,4,30,13,18,20,0,0,,144,,
2016,4,30,13,18,21,0,0,,146,,
2016,4,30,13,18,22,0,0,,146,,
2016,4,30,13,18,23,22,49,,145,,
2016,4,30,13,18,24,29,49,,144,,
2016,4,30,13,18,25,30,49,,139,,
2016,4,30,13,18,26,32,49,,137,,
2016,4,30,13,18,27,32,49,,134,,
2016,4,30,13,18,28,32,49,,132,,
2016,4,30,13,18,29,32,49,,130,,
2016,4,30,13,18,30,32,49,,130,,
